,Route,*,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,,2022-2023 Change,,2023 Rank
213,SIM15,6,414.0,1173.1237,393.0,435.3834,660.0512,769.0,,108.9488,0.1650611346513725,13
214,SIM22,6,286.0,902.0786,348.0,411.7273,647.2441,723.0,,75.7559,0.11704378610789963,16
215,SIM23,9,,,,,242.8543,312.0,,,,26
216,SIM24,9,,,,,213.1378,276.0,,,,27
217,SIM25,6,338.0,1050.8435,377.0,403.4783,593.6339,726.0,,132.36609999999996,0.2229759789661607,15
218,SIM26,6,451.0,1187.8174,420.0,446.9763,628.685,778.0,,149.31500000000005,0.2375036783126686,12
219,SIM30,6,303.0,808.1805,318.0,367.1937,554.1024,644.0,,89.89760000000001,0.1622400480488805,17
220,SIM31,6,300.0,847.1419,303.0,324.1779,458.6535,533.0,,74.34649999999999,0.16209731311327613,20
221,SIM32,6,279.0,763.9402,229.0,218.5099,336.7087,398.0,,61.29129999999998,0.18203063954094437,23
222,SIM33,6,275.0,1702.0457,828.0,902.8379,1264.5512,1506.0,,241.4487999999999,0.19093635749979904,7
223,SIM34,6,469.0,1340.734,488.0,537.8735,787.9291,898.0,,110.07090000000005,0.13969645238385034,10
224,SIM35,6,247.0,725.4775,238.0,233.2727,370.7283,431.0,,60.27170000000001,0.16257647446930815,22
225,X1,6,3689.0,0.0,0.0,0.0,0.0,0.0,,,,
226,X2,6,929.0,0.0,0.0,0.0,0.0,0.0,,,,
227,X3,6,286.0,0.0,0.0,0.0,0.0,0.0,,,,
228,X4,6,405.0,0.0,0.0,0.0,0.0,0.0,,,,
229,X5,6,1203.0,0.0,0.0,0.0,0.0,0.0,,,,
230,X7,6,1078.0,0.0,0.0,0.0,0.0,0.0,,,,
231,X8,6,515.0,0.0,0.0,0.0,0.0,0.0,,,,
232,X9,6,625.0,0.0,0.0,0.0,0.0,0.0,,,,
233,X10,6,1745.0,0.0,0.0,0.0,0.0,0.0,,,,
234,X11,6,445.0,0.0,0.0,0.0,0.0,0.0,,,,
235,X12/42,6,1442.0,0.0,0.0,0.0,0.0,0.0,,,,
236,X14,6,545.0,0.0,0.0,0.0,0.0,0.0,,,,
237,X15,6,719.0,0.0,0.0,0.0,0.0,0.0,,,,
238,X17,6,3823.0,0.0,0.0,0.0,0.0,0.0,,,,
239,X19,6,678.0,0.0,0.0,0.0,0.0,0.0,,,,
240,X21,6,325.0,0.0,0.0,0.0,0.0,0.0,,,,
241,X22,6,1375.0,0.0,0.0,0.0,0.0,0.0,,,,
242,X27/37,,2940.0,2943.9321,1039.0,1245.8854000000001,2033.4725,2325.0,,291.5274999999999,0.14336436809447872,3
