name,rid,color,area_px,lon,lat,country,province,admin_divisions,flags
,1253,#edebb5,7957,116.8046,26.0908,China,"Fujian, Jiangxi","Ninghua (宁化县); Qingliu (清流县) (also Mingxi (明溪县), Liancheng (连城县), Changting (长汀县), Jiangxi)",
,1376,#f2741c,17,119.2858,26.0756,China,福建省,福州市鼓楼区: 洪山镇、安泰街道、鼓西街道、南街街道; 福州市台江区: 上海街道、义洲街道、宁化街道、瀛洲街道、后洲街道、新港街道,
,1282,#eec1a2,4650,118.8708,26.0655,China,Fujian,Yongtai (永泰县); most of Minhou (闽侯县); Minqing (闽清县),
,1465,#f5af7e,767,119.5375,26.0426,China,Fujian,"most of Changle (长乐市); southeastern part of Fuzhou (also Lianjiang (连江县), Lienchiang (連江縣))",
,1237,#ed9d4c,54,119.2831,26.0309,China,福建省,福州市仓山区: 盖山镇、建新镇、金山街道、上渡街道、对湖街道、东升街道、三叉街街道,
,537,#bcd9e8,9638,108.7812,26.0034,China,"Guizhou, Hunan, Guangxi","Liping (黎平县); Rongjiang (榕江县); Congjiang (从江县) (also Hunan, Guangxi)",
,877,#ddd598,2739,100.1609,25.9234,China,Yunnan,central Eryuan (洱源县); most of Dali (大理市) (also Binchuan (宾川县)),
,944,#e1c58f,6841,118.1183,25.9135,China,Fujian,Youxi (尤溪县); Dehua (德化县); Datian (大田县),
,1324,#f0b688,553,119.3797,25.8907,China,Fujian,southeastern part of Minhou (闽侯县); part of central Changle (长乐市) (also Fuzhou),
,1295,#eee3b2,8153,102.8914,25.884,China,Yunnan,Luquan Yi and Miao (禄劝彝族苗族自治县); Xundian Hui and Yi (寻甸回族彝族自治县) (also Dongchuan (东川区)),
,779,#d6dc59,225,114.8885,25.8801,China,Jiangxi,most of Ganzhou,
,909,#dfd6bb,10243,101.6102,25.8585,China,Yunnan,"Dayao (大姚县); Wuding (武定县) (also Yuanmou (元谋县), Yongren (永仁县), Dali Bai Autonomous Prefecture (大理白族自治州))",
,741,#d1b3f5,3276,112.3647,25.84,China,Hunan,most of Guiyang (桂阳县|桂陽縣); Xintian (新田县|新田縣); northern part of Ningyuan (宁远县|寧遠縣),
,825,#dab8f3,7305,110.9104,25.8291,China,"Guangxi, Hunan","Quanzhou (全州县); Ziyuan (资源县); Guanyang (灌阳县) (also Xing’an (兴安县), Hunan)",
,480,#b5d5dc,5728,105.953,25.8129,China,Guizhou,"Ziyun Miao and Buyei (紫云苗族|布依族自治县); Zhenning Buyei and Miao (镇宁布依族|苗族自治县); Guanling Buyei and Miao (关岭布依族|苗族自治县) (also Qiannan Buyi and Miao Autonomous Prefecture (黔南布依族苗族自治州), Anshun)",
,1103,#e8eb9e,4072,115.273,25.7779,China,Jiangxi,"most of Yudu (于都县); most of Gan (赣县) (also Anyuan (安远县), Ganzhou)",
,554,#bdd3e1,8044,106.7965,25.7526,China,Guizhou,Luodian (罗甸县); Pingtang (平塘县); Huaxi (花溪区) (also Changshun (长顺县)),
,521,#bad2d7,1792,113.0154,25.752,China,Hunan,Chen (also Chenzhou (郴州市)),
,861,#dceba8,4952,104.0955,25.747,China,"Yunnan, Guizhou","most of Zhanyi (沾益县); most of Fuyuan (富源县) (also Xuanwei (宣威市), Guizhou)",
,953,#e1e8c3,7393,113.9502,25.7449,China,"Hunan, Jiangxi, Guangdong","Rucheng (汝城县|汝城縣); Chongyi (崇义县) (also Shangyou (上犹县), Guidong (桂东县|桂東縣), Zixing (资兴市|資興市), Guangdong)",
,914,#dfe284,795,114.7307,25.7398,China,Jiangxi,central Nankang (南康市),
,835,#daf0bf,3101,104.6563,25.7297,China,"Guizhou, Yunnan",Pan (盘县) (also Yunnan),
,479,#b5c9dd,7410,107.7694,25.6985,China,"Guizhou, Guangxi","Dushan (独山县); Libo (荔波县); Sandu Shui (三都水族自治县) (also Duyun (都匀市), Guangxi)",
,1487,#f5f3a0,4047,115.8646,25.6647,China,"Jiangxi, Fujian",Huichang (会昌县); most of Ruijin (瑞金市) (also Fujian),
,615,#c3e6df,4233,105.1898,25.6614,China,Guizhou,Xingren (兴仁县); Pu'an (普安县); Qinglong (晴隆县) (also Zhenfeng (贞丰县)),
,1388,#f2c189,1424,119.1831,25.6484,China,Fujian,northwestern half of Fuqing (福清市); northwestern part of Putian County (莆田市) (also Putian (莆田市)),
,1574,#fcb184,741,119.5841,25.555,China,Fujian,central Fuqing (福清市),
,726,#d0a8e9,3511,111.6985,25.5196,China,Hunan,Dao (道县|道縣); southern half of Ningyuan (宁远县|寧遠縣) (also Shuangpai (双牌县|雙牌縣)),
,724,#cfee83,944,103.8431,25.4833,China,云南省,曲靖市麒麟区: 茨营乡、珠街乡、寥廓街道、三宝镇、西城街道、沿江乡、建宁街道; 曲靖市沾益县: 西平镇,
,1424,#f3c637,143,119.0244,25.4644,China,Fujian,most of Putian (莆田市); western small part of Putian County (莆田市),
,1394,#f2d289,1812,118.7224,25.4637,China,Fujian,Xianyou (仙游县) (also Putian County (莆田市)),
